x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
-2.000000E-03,-1.589636E-03,-267.776E-06,-2.436651841E+00,-1.321838E-03
-1.998000E-03,-1.584485E-03,-291.998E-06,-3.094867909E+00,-1.292483E-03
-1.996000E-03,-1.466595E-03,-266.947E-06,-3.084440771E+00,-1.199661E-03
-1.994000E-03,-1.306118E-03,-251.420E-06,-3.074792526E+00,-1.054670E-03
-1.992000E-03,-1.228279E-03,-231.822E-06,-3.064717143E+00,-996.457E-06
-1.990000E-03,-1.186369E-03,-214.510E-06,-3.052795024E+00,-971.911E-06
-1.988000E-03,-1.082173E-03,-204.636E-06,-3.039842757E+00,-877.624E-06
-1.986000E-03,-1.087626E-03,-224.736E-06,-3.027166876E+00,-862.982E-06
-1.984000E-03,-1.082575E-03,-235.465E-06,-3.015646775E+00,-847.190E-06
-1.982000E-03,-1.078706E-03,-254.761E-06,-3.005420640E+00,-823.987E-06
-1.980000E-03,-1.072047E-03,-259.987E-06,-2.995508575E+00,-812.145E-06
-1.978000E-03,-1.026922E-03,-255.415E-06,-2.984264847E+00,-771.540E-06
-1.976000E-03,-972.375E-06,-248.329E-06,-2.971840208E+00,-724.168E-06
-1.974000E-03,-941.997E-06,-232.023E-06,-2.957681911E+00,-710.119E-06
-1.972000E-03,-924.685E-06,-237.802E-06,-2.944390455E+00,-687.008E-06
-1.970000E-03,-955.214E-06,-259.611E-06,-2.932443228E+00,-695.716E-06
-1.968000E-03,-867.350E-06,-253.832E-06,-2.923121631E+00,-613.631E-06
-1.966000E-03,-828.832E-06,-242.952E-06,-2.914679417E+00,-586.018E-06
-1.964000E-03,-751.094E-06,-223.003E-06,-2.906199505E+00,-528.177E-06
-1.962000E-03,-862.628E-06,-241.194E-06,-2.896249743E+00,-621.523E-06
-1.960000E-03,-820.161E-06,-240.766E-06,-2.883950725E+00,-579.478E-06
-1.958000E-03,-770.690E-06,-223.379E-06,-2.870797443E+00,-547.429E-06
-1.956000E-03,-806.922E-06,-224.033E-06,-2.858498485E+00,-582.986E-06
-1.954000E-03,-698.429E-06,-222.048E-06,-2.847078861E+00,-476.506E-06
-1.952000E-03,-721.567E-06,-245.816E-06,-2.836325099E+00,-475.946E-06
-1.950000E-03,-801.320E-06,-270.917E-06,-2.824214506E+00,-530.579E-06
