1	7417854.753		flip‘O•½‹Ï	flipŒã•½‹Ï	freq.shift	•Î‹É—¦
2	7415805.915		7422463.531	7408886.997	13576.5335	4.16%
3	7416070.609					
4	7416996.805					
5	7417364.806					
6	7419319.294					
7	7419848.763					
8	7418559.273					
9	7419073.972					
10	7419256.897					
11	7419000.093					
12	7419513.097					
13	7419982.035					
14	7419746.015					
15	7419256.513					
16	7419591.682					
17	7419828.101					
18	7420255.689					
19	7420406.493					
20	7419387.96					
21	7421075.05					
22	7421626.919					
23	7421364.597					
24	7419624.071					
25	7421548.861					
26	7421615.294					
27	7421024.311					
28	7421076.411					
29	7421289.139					
30	7420666.875					
31	7420764.225					
32	7421285.638					
33	7421512.395					
34	7421092.584					
35	7420171.363					
36	7420389.581					
37	7420470.14					
38	7420862.365					
39	7420108.339					
40	7420245.762					
41	7420079.811					
42	7419892.464					
43	7422163.111					
44	7422706.23					
45	7423171.604					
46	7423316.069					
47	7424693.001					
48	7422881.922					
49	7422036.218					
50	7421925.715					
51	7422543.243					
52	7423066.491					
53	7422416.354					
54	7422147.158					
55	7422219.46					
56	7421385.978					
57	7421603.242					
58	7421711.55					
59	7421858.205					
60	7421835.128					
61	7421821.867					
62	7420676.072					
63	7420918.76					
64	7421148.505					
65	7421499.379					
66	7421714.821					
67	7422220.265					
68	7421988.853					
69	7421641.834					
70	7422712.885					
71	7422417.713					
72	7423013.312					
73	7421588.774					
74	7422071.418					
75	7422295.482					
76	7421488.021					
77	7421520.028					
78	7422344.105					
79	7422639.032					
80	7422791.501					
81	7422159.854					
82	7420165.6					
83	7420233.597					
84	7421004.229					
85	7421547.518					
86	7421986.501					
87	7422361.402					
88	7422578.701					
89	7422903.308					
90	7422783.58					
91	7423669.667					
92	7424422.937					
93	7424047.141					
94	7424708.257					
95	7424796.244					
96	7425791.593					
97	7426017.848					
98	7425402.701					
99	7424388.222					
100	7423446.028					
101	7424036.679					
102	7422490.199					
103	7418985.071					
104	7416994.802					
105	7416713.887					
106	7414472.512					
107	7413410.606					
108	7411469.9					
109	7410221.925					
110	7410328.849					
111	7409438.726					
112	7408699.449					
113	7408640.598					
114	7408948.398					
115	7407978.065					
116	7408340.878					
117	7408653.557					
118	7408710.851					
119	7409197.487					
120	7408820.113					
121	7408854.146					
122	7409133.449					
123	7409685.308					
124	7410397.522					
125	7411004.553					
126	7410639.6					
127	7410994.56					
128	7411510.505					
129	7410888.14					
130	7411021.862					
131	7411329.726					
132	7412045.814					
133	7411599.598					
134	7412233.409					
135	7412891.268					
136	7414286.559					
137	7411907.996					
138	7411509.514					
139	7412220.392					
140	7411160.281					
141	7411989.449					
142	7412169.639					
143	7413013.616					
144	7413686.618					
145	7412625.22					
146	7413375.154					
147	7414039.904					
148	7414987.19					
149	7415721.867					
150	7415085.999					
151	7416413.515					
152	7416518.271					
153	7417769.755					
154	7418880.763					
155	7419798.626					
156	7420305.158					
157	7420655.727					
158	7421354.513					
159	7421157.071					
160	7421438.867					
161	7419394.381					
162	7418748.41					
163	7418058.721					
164	7418094.285					
165	7418326.792					
166	7418523.857					
167	7418725.033					
168	7418723.85					
169	7419124.477					
170	7419659.492					
171	7419568.286					
172	7419402.072					
173	7419768.043					
174	7420157.471					
175	7420232.67					
176	7420850.405					
177	7420928.959					
178	7420738.822					
179	7420934.486					
180	7421154.059					
181	7421508.923					
182	7420435.352					
183	7419737.698					
184	7419751.165					
185	7419397.678					
186	7419926.251					
187	7420225.941					
188	7420640.431					
189	7420990.492					
190	7421500.519					
191	7421722.335					
192	7421124.613					
193	7420893.976					
194	7420995.876					
195	7420589.348					
196	7421457.801					
197	7421796.425					
198	7421482.492					
