x-axis,1,2,3
second,Volt,Volt,Volt
-5.000000E-03,+164.510E-06,+2.657977E-03,+2.892226728E+00
-4.995000E-03,+397.224E-06,+2.720440E-03,-2.234585338E+00
-4.990000E-03,+508.957E-06,+2.761872E-03,-3.008577219E+00
-4.985000E-03,+190.691E-06,+2.608505E-03,-2.982082241E+00
-4.980000E-03,+202.826E-06,+2.594183E-03,-2.953684000E+00
-4.975000E-03,+138.128E-06,+2.622802E-03,-2.928219164E+00
-4.970000E-03,+303.455E-06,+2.792374E-03,-2.901410113E+00
-4.965000E-03,+321.822E-06,+2.733756E-03,-2.869890015E+00
-4.960000E-03,+258.052E-06,+2.694560E-03,-2.839531963E+00
-4.955000E-03,+101.671E-06,+2.679837E-03,-2.810694017E+00
-4.950000E-03,+142.022E-06,+2.629460E-03,-2.784092265E+00
-4.945000E-03,+329.083E-06,+2.746998E-03,-2.753294522E+00
-4.940000E-03,+473.755E-06,+2.752676E-03,-2.723024409E+00
-4.935000E-03,+228.303E-06,+2.772148E-03,-2.694205304E+00
-4.930000E-03,+274.660E-06,+2.829384E-03,-2.662346012E+00
-4.925000E-03,+372.173E-06,+2.748932E-03,-2.629946517E+00
-4.920000E-03,+292.853E-06,+2.753204E-03,-2.601579667E+00
-4.915000E-03,+562.726E-06,+2.887751E-03,-2.574601007E+00
-4.910000E-03,+428.505E-06,+2.830892E-03,-2.544362340E+00
-4.905000E-03,+424.611E-06,+2.900717E-03,-2.515448998E+00
-4.900000E-03,+427.953E-06,+2.999058E-03,-2.483024349E+00
-4.895000E-03,+488.380E-06,+2.895741E-03,-2.455279400E+00
-4.890000E-03,+422.727E-06,+2.851596E-03,-2.425279403E+00
-4.885000E-03,+447.500E-06,+2.966018E-03,-2.392151258E+00
-4.880000E-03,+540.589E-06,+3.082073E-03,-2.362484155E+00
-4.875000E-03,+408.856E-06,+2.953203E-03,-2.334374839E+00
-4.870000E-03,+413.127E-06,+2.902324E-03,-2.303231638E+00
-4.865000E-03,+418.430E-06,+2.943731E-03,-2.270945212E+00
-4.860000E-03,+568.506E-06,+2.989963E-03,-2.241089659E+00
-4.855000E-03,+375.540E-06,+2.887223E-03,-2.213859749E+00
-4.850000E-03,+507.098E-06,+2.934988E-03,-2.183401222E+00
-4.845000E-03,+302.526E-06,+2.810288E-03,-2.153388682E+00
-4.840000E-03,+473.155E-06,+2.839963E-03,-2.124958956E+00
-4.835000E-03,+430.566E-06,+2.795490E-03,-2.093030584E+00
-4.830000E-03,+419.183E-06,+2.810564E-03,-2.063250468E+00
-4.825000E-03,+518.657E-06,+2.746923E-03,-2.032647435E+00
-4.820000E-03,+377.097E-06,+2.725640E-03,-2.002132332E+00
-4.815000E-03,+309.032E-06,+2.716469E-03,-1.974293141E+00
-4.810000E-03,+309.636E-06,+2.532148E-03,-1.944079587E+00
-4.805000E-03,+410.842E-06,+2.602576E-03,-1.915015502E+00
-4.800000E-03,+484.611E-06,+2.698179E-03,-1.886667480E+00
-4.795000E-03,+343.028E-06,+2.638379E-03,-1.856409969E+00
-4.790000E-03,+243.679E-06,+2.620339E-03,-1.826246669E+00
-4.785000E-03,+285.742E-06,+2.618104E-03,-1.795530539E+00
-4.780000E-03,+384.785E-06,+2.636871E-03,-1.764211430E+00
-4.775000E-03,+408.729E-06,+2.672300E-03,-1.733275535E+00
-4.770000E-03,+236.522E-06,+2.670390E-03,-1.704469020E+00
-4.765000E-03,+107.297E-06,+2.602372E-03,-1.674990324E+00
-4.760000E-03,+207.906E-06,+2.509436E-03,-1.646164900E+00
-4.755000E-03,+124.812E-06,+2.505163E-03,-1.615549355E+00
-4.750000E-03,+265.641E-06,+2.680590E-03,-1.582647369E+00
-4.745000E-03,+200.744E-06,+2.466117E-03,-1.552446355E+00
-4.740000E-03,+229.083E-06,+2.570089E-03,-1.524739019E+00
-4.735000E-03,+347.675E-06,+2.717627E-03,-1.496610939E+00
-4.730000E-03,+371.673E-06,+2.602399E-03,-1.464142316E+00
-4.725000E-03,+289.883E-06,+2.626696E-03,-1.431799352E+00
-4.720000E-03,+239.410E-06,+2.680843E-03,-1.402477686E+00
-4.715000E-03,+302.776E-06,+2.710137E-03,-1.371654888E+00
-4.710000E-03,+532.599E-06,+2.692324E-03,-1.343244102E+00
-4.705000E-03,+247.852E-06,+2.617023E-03,-1.314481468E+00
-4.700000E-03,+214.761E-06,+2.692023E-03,-1.285693763E+00
-4.695000E-03,+237.500E-06,+2.654911E-03,-1.255970187E+00
-4.690000E-03,+393.784E-06,+2.680415E-03,-1.224475202E+00
-4.685000E-03,+514.738E-06,+2.754284E-03,-1.193721392E+00
-4.680000E-03,+508.834E-06,+2.631168E-03,-1.165674911E+00
-4.675000E-03,+369.659E-06,+2.666268E-03,-1.132961351E+00
-4.670000E-03,+599.785E-06,+2.821874E-03,-1.102239016E+00
-4.665000E-03,+565.918E-06,+2.721418E-03,-1.071811851E+00
-4.660000E-03,+568.325E-06,+2.658855E-03,-1.042647234E+00
-4.655000E-03,+554.813E-06,+2.682878E-03,-1.014588290E+00
-4.650000E-03,+309.230E-06,+2.611242E-03,-983.369633E-03
-4.645000E-03,+575.499E-06,+2.668583E-03,-953.105782E-03
-4.640000E-03,+555.592E-06,+2.736872E-03,-924.135914E-03
-4.635000E-03,+567.224E-06,+2.723455E-03,-892.578169E-03
-4.630000E-03,+398.202E-06,+2.593051E-03,-862.081984E-03
-4.625000E-03,+190.895E-06,+2.534864E-03,-832.804270E-03
-4.620000E-03,+331.246E-06,+2.771648E-03,-802.019053E-03
-4.615000E-03,+399.513E-06,+2.600263E-03,-773.200056E-03
-4.610000E-03,+334.482E-06,+2.535965E-03,-740.398507E-03
-4.605000E-03,+214.036E-06,+2.523179E-03,-710.630892E-03
-4.600000E-03,+80.083E-06,+2.445790E-03,-680.574262E-03
-4.595000E-03,+33.278E-06,+2.378807E-03,-650.297929E-03
-4.590000E-03,-80.113E-06,+2.369937E-03,-618.514084E-03
-4.585000E-03,-74.064E-06,+2.373777E-03,-590.919771E-03
-4.580000E-03,-42.047E-06,+2.303354E-03,-560.781591E-03
-4.575000E-03,-222.426E-06,+2.169536E-03,-530.731376E-03
